Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,149.74406846683,181.59877600924,194.66903621844,205.674096714917,232.778698777445,255.045622164367,284.755531712597,291.649791044155,311.853617000053,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,183.532775237202,200.462566743838,221.657604182947,255.05511997846,274.000486471348,375.078128065393,387.849174300047,443.845150536332,554.595200222354,621.912310861592,663.141052810937,651.987861948108,628.146803888496,592.476537451681,520.252064031151,530.149830802984,502.056770622973,500.522664145294,516.866552182696,368.754614175459,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,359.766342668484,363.101481459528,354.033912870345,379.955829325586,384.078305241572,429.412537341828,437.420026808226,512.409279249256,569.282712026308,551.000970270826,596.4428151196,608.386714575999,602.516979299112,592.476537451681,590.427738791141,588.930450759474,578.985909020837,584.386882896106,553.036478884366,426.030015291798,..
Afghanistan,AFG,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0706296,0.0678091,0.0648489,0.0610998,0.0573809,0.0534857,0.0504772,0.047961,0.0459149,0.0447459,0.0443596,0.0428035,0.0445984,0.0469879,0.0493992,0.0534765,0.0557705,0.0564619,0.0854779,0.1324259,0.2003224,0.2977051,0.4520258,0.6873025,1.019877,1.510364,2.210068,1.691791,1.269632,0.7176151,..,..
Afghanistan,AFG,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4757922,0.474569,0.4725283,0.4712409,0.4701929,0.4691556,0.4677194,0.4671369,0.4667215,0.466538,0.467874,0.472442,0.4849434,0.4947133,0.5057468,0.5257769,0.5446523,0.5655818,0.6891102,0.8515044,1.005709,1.197028,1.424932,1.702105,1.997002,2.354116,2.726627,2.472382,2.223373,1.843914,..,..
Afghanistan,AFG,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4135315,0.4123942,0.4106016,0.409173,0.4076659,0.4066628,0.4053358,0.4046447,0.4041017,0.4039146,0.4046118,0.4078603,0.4181973,0.426266,0.435334,0.453412,0.4702322,0.4883621,0.5976048,0.7420042,0.8806576,1.054247,1.26199,1.522926,1.815164,2.188389,2.619621,2.308126,2.019602,1.643259,..,..
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,14.044,14.064,14.07,14.097,13.972,13.85,13.753,13.691,13.644,13.758,13.884,14.057,14.225,14.361,14.196,14.019,13.9,13.816,13.826,14.134,14.484,15.339,16.224,16.893,17.567,18.251,18.577,18.898,13.7,..,..
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.454,73.364,73.302,73.176,72.882,72.95,73.028,73.068,73.108,73.139,73.049,72.825,72.768,72.732,72.615,72.684,72.706,72.81,72.728,72.628,72.435,72.055,71.341,70.572,68.975,67.36,65.756,65.656,65.536,59.715,..,..
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.207,43.168,43.152,43.109,42.993,42.985,42.984,42.971,42.977,42.992,43.029,43.01,43.098,43.195,43.239,43.22,43.155,43.164,43.11,43.092,43.18,43.194,43.292,43.374,42.93,42.475,42.021,42.128,42.223,36.711,..,..
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.082,12.113,12.103,12.065,12.038,11.879,11.747,11.665,11.641,11.653,11.886,12.138,12.431,12.704,12.93,12.662,12.376,12.172,12.048,12.051,12.469,12.956,13.805,14.684,15.086,15.463,15.823,16.167,16.498,12.928,..,..
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.708,55.577,55.443,55.226,54.844,54.852,54.923,55.015,55.152,55.322,55.463,55.513,55.684,55.859,55.981,55.973,55.861,55.855,55.812,55.753,55.772,55.668,55.156,54.595,52.526,50.459,48.43,48.293,48.129,43.474,..,..
